region_id,region_name,senate_district,district,commune,list_id,pact_name,party_name,vote_number,candidate_name,lastname_1,lastname_2,vote_count,elected_status
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,ANTOFAGASTA,L,TU REGION RADICAL,PARTIDO RADICAL DE CHILE,2,MARCELA XIMENA,HERNANDO,PEREZ,97570,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,ANTOFAGASTA,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,3,RICARDO HERIBERTO,DIAZ,CORTES,99867,GOBERNADOR REGIONAL
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,ANTOFAGASTA,,,,,VOTOS EN BLANCO,,,10211,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,ANTOFAGASTA,,,,,VOTOS NULOS,,,34784,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,CALAMA,L,TU REGION RADICAL,PARTIDO RADICAL DE CHILE,2,MARCELA XIMENA,HERNANDO,PEREZ,35422,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,CALAMA,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,3,RICARDO HERIBERTO,DIAZ,CORTES,46356,GOBERNADOR REGIONAL
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,CALAMA,,,,,VOTOS EN BLANCO,,,3658,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,CALAMA,,,,,VOTOS NULOS,,,15894,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MARIA ELENA,L,TU REGION RADICAL,PARTIDO RADICAL DE CHILE,2,MARCELA XIMENA,HERNANDO,PEREZ,1246,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MARIA ELENA,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,3,RICARDO HERIBERTO,DIAZ,CORTES,1252,GOBERNADOR REGIONAL
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MARIA ELENA,,,,,VOTOS EN BLANCO,,,130,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MARIA ELENA,,,,,VOTOS NULOS,,,406,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MEJILLONES,L,TU REGION RADICAL,PARTIDO RADICAL DE CHILE,2,MARCELA XIMENA,HERNANDO,PEREZ,3131,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MEJILLONES,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,3,RICARDO HERIBERTO,DIAZ,CORTES,4350,GOBERNADOR REGIONAL
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MEJILLONES,,,,,VOTOS EN BLANCO,,,298,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,MEJILLONES,,,,,VOTOS NULOS,,,745,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,OLLAGUE,L,TU REGION RADICAL,PARTIDO RADICAL DE CHILE,2,MARCELA XIMENA,HERNANDO,PEREZ,262,
2,DE ANTOFAGASTA,CIRCUNSCRIPCION SENATORIAL 3,DISTRITO 3,OLLAGUE,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,3,RICARDO HERIBERTO,DIAZ,CORTES,400,GOBERNADOR REGIONAL
