region_id,region_name,senate_district,district,commune,list_id,pact_name,party_name,candidate_name,lastname_1,lastname_2,vote_count,Resultado
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,B,IZQUIERDA ECOLOGISTA POPULAR,POPULAR,MARCO ANTONIO,QUEVEDO,VILLEGAS,2925,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,F,PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES,PARTIDO SOCIAL CRISTIANO,CRISTIAN,CABEZAS,MUNDACA,4913,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,O,POR CHILE Y SUS REGIONES,INDEPENDIENTES,JOSE MIGUEL,CARVAJAL,GALLARDO,20106,ELECTO
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,P,PARTIDO DE LA GENTE E INDEPENDIENTES,PARTIDO DE LA GENTE,PATRICIO ANDRES,QUISBERT,LAZO,5699,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,Y,REPUBLICANOS E INDEPENDIENTES,PARTIDO REPUBLICANO DE CHILE,JORGE OSVALDO,MUÑOZ,OYARCE,8515,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,Z,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NATAN,OLIVOS,NUÑEZ,4944,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,,,,VOTOS EN BLANCO,,,4473,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,ALTO HOSPICIO,,,,VOTOS NULOS,,,5875,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,CAMIÑA,B,IZQUIERDA ECOLOGISTA POPULAR,POPULAR,MARCO ANTONIO,QUEVEDO,VILLEGAS,62,
1,DE TARAPACA,CIRCUNSCRIPCION SENATORIAL 2,DISTRITO 2,CAMIÑA,F,PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES,PARTIDO SOCIAL CRISTIANO,CRISTIAN,CABEZAS,MUNDACA,172,
